Users	2015-11-28T12:12:18.872Z	2015-11-29T23:37:19.706Z	2015-11-30T23:10:18.669Z	2015-12-01T10:29:49.270Z	2015-12-02T08:20:01.535Z	2015-12-03T08:20:01.465Z	2015-12-04T08:20:01.493Z	2015-12-05T08:20:01.369Z	2015-12-06T08:20:01.528Z	2015-12-07T08:20:01.875Z	2015-12-08T08:20:01.909Z	2015-12-09T08:20:01.468Z	2015-12-10T08:20:01.394Z	2015-12-11T08:20:01.262Z	2015-12-12T08:20:01.348Z	2015-12-13T08:20:01.883Z	2015-12-14T08:20:01.281Z	2015-12-15T08:20:01.581Z	2015-12-16T08:20:01.240Z	2015-12-17T08:20:01.714Z	2015-12-18T08:20:01.574Z	2015-12-19T08:20:02.835Z	2015-12-20T08:20:02.072Z	2015-12-21T08:20:01.544Z	2015-12-22T08:20:01.930Z	2015-12-23T08:20:02.117Z	2015-12-24T08:20:01.586Z	2015-12-25T08:20:02.108Z	2015-12-26T08:20:01.415Z	2015-12-27T08:20:02.337Z	2015-12-28T08:20:01.287Z	2015-12-29T08:20:02.735Z	2015-12-30T08:20:01.206Z	2015-12-31T08:20:02.328Z	2016-01-01T08:20:02.395Z	2016-01-02T08:20:02.001Z	2016-01-03T08:20:01.415Z	2016-01-04T08:20:01.912Z	2016-01-05T08:20:02.038Z	2016-01-06T08:20:02.201Z	2016-01-07T08:20:01.975Z	2016-01-08T08:20:01.365Z	2016-01-09T08:20:01.625Z	2016-01-10T08:20:02.505Z	2016-01-11T08:20:02.244Z	2016-01-12T08:20:02.736Z	2016-01-13T08:20:01.153Z	2016-01-14T08:20:02.422Z	2016-01-15T08:20:02.066Z	2016-01-16T08:20:01.687Z	2016-01-17T08:20:01.408Z	2016-01-18T08:20:01.166Z	2016-01-19T08:20:01.537Z	2016-01-20T08:20:01.871Z	2016-01-21T08:20:02.113Z	2016-01-22T08:20:01.279Z	2016-01-23T08:20:02.364Z	2016-01-24T08:20:01.690Z	2016-01-25T08:20:01.646Z
ful_potatis	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
gemma	112	112	115	120	127	129	158	158	158	160	160	162	162	162	163	163	166	166	166	166	166	166	166	167	167	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169
gialonk	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
hanchengwu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	14	43	43	43	47	51	53	53	54	55
handsome_howard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
hardmath123	1825	1836	1847	1911	1920	1931	1936	1950	2028	2047	2069	2110	2144	2147	2199	2252	2406	2419	2450	2459	2461	2462	2462	2462	2462	2462	2462	2462	2462	2462	2462	2462	2462	2462	2466	2480	2480	2503	2540	2559	2595	2601	2646	2752	2759	2812	2936	2943	2959	2983	3007	3007	3064	3110	3132	3140	3144	3156	3174
harrison	4269	4293	4314	4394	4491	4594	4690	4724	4809	5185	5259	5348	5493	5581	5670	5731	5773	5863	5975	6133	6208	6259	6334	6460	6550	6591	6598	6638	6784	6839	6848	6881	6960	6984	7064	7158	7370	7381	7438	7470	7513	7526	7538	7546	7554	7554	7588	7596	7597	7622	7622	7623	7630	7659	7684	7691	7693	7696	7722
haxorun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
hellyeah	2569	2570	2570	2575	2608	2608	2608	2608	2608	2608	2608	2608	2608	2610	2611	2611	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614	2614
iceswirl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
